'-skip-logged'	'Download -skip-logged failed: '
'GrokIMDB'	'OK!'
'Grouch'	'Download Grouch failed: None'
'Gyrfalcon'	'Download Gyrfalcon failed: None'
'HP3478A'	'Download HP3478A failed: None'
'HRL'	'OK!'
'HTConsole'	'OK!'
'HTMLCalendar'	'OK!'
'HTMLTemplate'	'OK!'
'HTMLTestRunner'	'Download HTMLTestRunner failed: None'
'HTTPEncode'	"Download HTTPEncode failed: [Errno 21] Is a directory: '/var/www/localhost/htdocs/pypicache/downloads/trunk'"
'HarvestMan'	'OK!'
'Haus'	'OK!'
'HessianPy'	'Download HessianPy failed: None'
'Hinagiku'	'OK!'
'HippoDraw'	'Download HippoDraw failed: None'
'Hive'	'OK!'
'HunnyB'	'OK!'
'Hydra'	'Download Hydra failed: None'
'IAF- Interaction Framework'	'Invalid name: None'
'IDLE2HTML'	'OK!'
'IMAPClient'	'OK!'
'IMDb'	'Download IMDb failed: None'
'IMDbPY'	'OK!'
'INITools'	'OK!'
'IPTCInfo'	'Download IPTCInfo failed: '
'IPv4-Utils'	'Download IPv4-Utils failed: '
'IPy'	'OK!'
'ISPManCCP'	'Get package args failed: '
'IbPy'	'OK!'
'ImageProcess'	'Download ImageProcess failed: None'
'ImageSize'	'Download ImageSize failed: None'
'ImageUtils'	'Download ImageUtils failed: None'
'Impacket'	'OK!'
'Importing'	'OK!'
'Impression'	'OK!'
'Improved autosuper'	'Invalid name: None'
'InPlace'	'Get package args failed: ImportError: No module named turbogears.finddata'
'IndexedCatalog'	'OK!'
'Informant'	'Unpack Informant failed: Unsupported archive type'
'InformixDB'	'OK!'
'IngeniSkel'	'OK!'
'InlineEgg'	'OK!'
'InstantFileProvider'	'OK!'
'InsulateRunner'	'Download InsulateRunner failed: None'
'IntelHex'	'OK!'
'Interface'	'OK!'
'IoC'	'OK!'
'IronBrowser'	'Download IronBrowser failed: None'
'IrssiNotifier'	'Get package args failed: '
'JCC'	'OK!'
'JSResolver'	'Download JSResolver failed: None'
'Jajouka'	'Get package args failed: ImportError: No module named py2exe'
'James'	'Get package args failed: SyntaxError: from __future__ imports must occur at the beginning of the file'
